,wikidataID,attractionName,attractionDescription,country,coordinates,type,namedAfter,locatedIn,height
168,http://www.wikidata.org/entity/Q76634475,Museum für Alltagsgeschichte Brühl,Museum in Deutschland,Deutschland,Point(6.90393 50.830302),Museum,,,
169,http://www.wikidata.org/entity/Q76634477,Museum Schloß Augustusburg,Museum in Deutschland,Deutschland,Point(6.907771 50.828364),Museum,,,
170,http://www.wikidata.org/entity/Q76634478,Handwerksmuseum Leben und Arbeiten in Burbach,Museum in Deutschland,Deutschland,,Museum,,,
171,http://www.wikidata.org/entity/Q76634480,Kreismuseum Wewelsburg,Museum in Deutschland,Deutschland,Point(8.652552 51.606586),Museum,,,
172,http://www.wikidata.org/entity/Q76634482,Schulmuseum der Hauptschule Büren,Museum in Deutschland,Deutschland,,Museum,,,
173,http://www.wikidata.org/entity/Q76634485,Lambertsmühle,Museum in Deutschland,Deutschland,Point(7.121111 51.08245),Museum,,,
174,http://www.wikidata.org/entity/Q76634487,Glasmuseum Alter Hof Herding,Museum in Deutschland,Deutschland,Point(7.19477 51.900839),Museum,,,
175,http://www.wikidata.org/entity/Q76634488,Heimathaus Lette,Museum in Deutschland,Deutschland,Point(7.189869 51.895793),Museum,,,
176,http://www.wikidata.org/entity/Q76634490,Museum Voswinckelshof,Museum in Deutschland,Deutschland,,Museum,,,
177,http://www.wikidata.org/entity/Q76634494,Freilichtmuseum Geo-Park Tannenbusch,Museum in Deutschland,Deutschland,Point(6.787695 51.080476),Museum,,,
178,http://www.wikidata.org/entity/Q76634496,Haus 'Tannenbusch',Museum in Deutschland,Deutschland,Point(6.787695 51.080476),Museum,,,
179,http://www.wikidata.org/entity/Q76634498,Heimatmuseum Zons,Museum in Deutschland,Deutschland,,Museum,,,
180,http://www.wikidata.org/entity/Q76634500,Missionsmuseum der Spiritaner,Museum in Deutschland,Deutschland,Point(6.752043 51.077553),Museum,,,
181,http://www.wikidata.org/entity/Q76634501,Museum-Schloß Lembeck,Museum in Deutschland,Deutschland,Point(6.964966 51.660441),Museum,,,
182,http://www.wikidata.org/entity/Q76634504,Tüshaus-Mühle,Museum in Deutschland,Deutschland,Point(6.959467 51.706433),Museum,,,
183,http://www.wikidata.org/entity/Q76634506,Heimatmuseum Lütgendortmund,Museum in Deutschland,Deutschland,Point(7.349594 51.509485),Museum,,,
